source,artifact_kind,columns,missing_formal_columns,probability_status,raw_bwer_status,standardised_bwer_status,selective_bwer_status,conformal_bwer_status,inference_status,recommended_action,protocol_hash
outputs\test_unified_selective_2954800cd49b453da749398926af3888\selective\selective_risk_summary_cross_dataset.csv,selective_or_predictions,experiment_id;dataset;deployment_axis;run_id;coverage_target;confidence_threshold;retained_count;total_count;retained_coverage;abstention_rate;mean_risk;risk_column;confidence_column,model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_selective_2cfb800eaa024ef4ab06549a54757aba\predictions.csv,selective_or_predictions,sample_id;country;confidence;risk,dataset;model;task;split;independent_unit_id;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,recomputable,missing_balance_axis_or_risk,recomputable,missing_prediction_set_outputs,missing_cluster_or_spatial_block,upgrade_schema_or_reexport,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_selective_2cfb800eaa024ef4ab06549a54757aba\selective\selective_bwer_summary.csv,selective_or_predictions,experiment_id;run_id;coverage_target;slice_variable;mean_slice_risk;worst_slice_risk;selective_bwer_proxy;note,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_selective_2cfb800eaa024ef4ab06549a54757aba\selective\selective_risk_caveats.csv,selective_or_predictions,experiment_id;dataset;deployment_axis;task_type;confidence_definition;availability_policy;run_id;status;source_path;reason;caveat,model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_selective_2cfb800eaa024ef4ab06549a54757aba\selective\selective_risk_summary_cross_dataset.csv,selective_or_predictions,experiment_id;dataset;deployment_axis;run_id;coverage_target;confidence_threshold;retained_count;total_count;retained_coverage;abstention_rate;mean_risk;risk_column;confidence_column,model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_selective_6937d3e0e14441feb73cfdfb88125d3e\predictions.csv,selective_or_predictions,sample_id;country;confidence;risk,dataset;model;task;split;independent_unit_id;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,recomputable,missing_balance_axis_or_risk,recomputable,missing_prediction_set_outputs,missing_cluster_or_spatial_block,upgrade_schema_or_reexport,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_selective_6937d3e0e14441feb73cfdfb88125d3e\selective\selective_bwer_summary.csv,selective_or_predictions,experiment_id;run_id;coverage_target;slice_variable;mean_slice_risk;worst_slice_risk;selective_bwer_proxy;note,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_selective_6937d3e0e14441feb73cfdfb88125d3e\selective\selective_risk_caveats.csv,selective_or_predictions,experiment_id;dataset;deployment_axis;task_type;confidence_definition;availability_policy;run_id;status;source_path;reason;caveat,model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_selective_6937d3e0e14441feb73cfdfb88125d3e\selective\selective_risk_summary_cross_dataset.csv,selective_or_predictions,experiment_id;dataset;deployment_axis;run_id;coverage_target;confidence_threshold;retained_count;total_count;retained_coverage;abstention_rate;mean_risk;risk_column;confidence_column,model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_selective_6c800889fd1c4535931570988ec71e8a\predictions.csv,selective_or_predictions,sample_id;country;confidence;risk,dataset;model;task;split;independent_unit_id;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,recomputable,missing_balance_axis_or_risk,recomputable,missing_prediction_set_outputs,missing_cluster_or_spatial_block,upgrade_schema_or_reexport,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_selective_6c800889fd1c4535931570988ec71e8a\selective\selective_bwer_summary.csv,selective_or_predictions,experiment_id;run_id;coverage_target;slice_variable;mean_slice_risk;worst_slice_risk;selective_bwer_proxy;note,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_selective_6c800889fd1c4535931570988ec71e8a\selective\selective_risk_caveats.csv,selective_or_predictions,experiment_id;dataset;deployment_axis;task_type;confidence_definition;availability_policy;run_id;status;source_path;reason;caveat,model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_selective_6c800889fd1c4535931570988ec71e8a\selective\selective_risk_summary_cross_dataset.csv,selective_or_predictions,experiment_id;dataset;deployment_axis;run_id;coverage_target;confidence_threshold;retained_count;total_count;retained_coverage;abstention_rate;mean_risk;risk_column;confidence_column,model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_selective_6f73c2b29f574fb591f4dfff32f7e7ee\predictions.csv,selective_or_predictions,sample_id;country;confidence;risk,dataset;model;task;split;independent_unit_id;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,recomputable,missing_balance_axis_or_risk,recomputable,missing_prediction_set_outputs,missing_cluster_or_spatial_block,upgrade_schema_or_reexport,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
